country,year,size_predicted_lower,size_predicted_median,size_predicted_upper,scenario,area_to_burn.1,area_to_burn.2,area_to_burn.3,area_to_burn.4,area_to_burn.5,model
Germany,2021,42.37734957,530.8436156,8359.927205,SSP1-2.6,6697.377,2033.377,7242.377,5697.377,1642.377,MPI-ESM1-2-LR
Spain,2021,4055.119809,48888.58218,764557.0787,SSP1-2.6,700692.12,412147.12,184131.12,745413.12,351147.12,MPI-ESM1-2-LR
Sweden,2021,66.08338228,580.6863352,7114.497989,SSP1-2.6,633.083,3720.083,506.083,1124.083,322.083,MPI-ESM1-2-LR
Germany,2022,23.45367692,274.9527456,4620.610491,SSP1-2.6,2898.454,2862.454,633.454,836.454,3141.454,MPI-ESM1-2-LR
Spain,2022,3909.255176,52003.47259,879248.5475,SSP1-2.6,199842.255,708522.255,548277.255,268553.255,655824.255,MPI-ESM1-2-LR
Sweden,2022,47.2985267,428.6359865,5689.242141,SSP1-2.6,134.299,1249.299,2175.299,1114.299,4149.299,MPI-ESM1-2-LR
Germany,2023,14.6294495,200.6627495,3663.121748,SSP1-2.6,1063.629,920.629,1143.629,2303.629,2688.629,MPI-ESM1-2-LR
Spain,2023,4289.305035,54666.31368,886594.1755,SSP1-2.6,55263.305,179793.305,56488.305,178753.305,492404.305,MPI-ESM1-2-LR
Sweden,2023,57.46429077,469.2862443,5838.277457,SSP1-2.6,2938.464,762.464,4965.464,238.464,1276.464,MPI-ESM1-2-LR
Germany,2024,15.69430061,191.0620363,3681.702792,SSP1-2.6,1492.694,3602.694,2410.694,2020.694,647.694,MPI-ESM1-2-LR
Spain,2024,4274.174261,52200.49631,849711.5767,SSP1-2.6,178595.174,539227.174,367876.174,610387.174,674774.174,MPI-ESM1-2-LR
Sweden,2024,53.81793544,464.7038723,5509.153836,SSP1-2.6,2064.818,1541.818,2468.818,1948.818,552.818,MPI-ESM1-2-LR
Germany,2025,24.93007797,315.2916725,5693.535563,SSP1-2.6,2497.93,1197.93,3162.93,184.93,4425.93,MPI-ESM1-2-LR
Spain,2025,3268.894671,34398.58343,502315.7518,SSP1-2.6,89929.895,451370.895,267613.895,375468.895,379334.895,MPI-ESM1-2-LR
